PitchNo,Date,Time,PAofInning,PitchofPA,Pitcher,PitcherId,PitcherThrows,PitcherTeam,Batter,BatterId,BatterSide,BatterTeam,PitcherSet,Inning,Top/Bottom,Outs,Balls,Strikes,TaggedPitchType,AutoPitchType,PitchCall,KorBB,TaggedHitType,PlayResult,OutsOnPlay,RunsScored,Notes,RelSpeed,VertRelAngle,HorzRelAngle,SpinRate,SpinAxis,Tilt,RelHeight,RelSide,Extension,VertBreak,InducedVertBreak,HorzBreak,PlateLocHeight,PlateLocSide,ZoneSpeed,VertApprAngle,HorzApprAngle,ZoneTime,ExitSpeed,Angle,Direction,HitSpinRate,PositionAt110X,PositionAt110Y,PositionAt110Z,Distance,LastTrackedDistance,Bearing,HangTime,pfxx,pfxz,x0,y0,z0,vx0,vy0,vz0,ax0,ay0,az0,HomeTeam,AwayTeam,Stadium,Level,League,GameID,PitchUID,EffectiveVelo,MaxHeight,MeasuredDuration,SpeedDrop,PitchLastMeasuredX,PitchLastMeasuredY,PitchLastMeasuredZ,ContactPositionX,ContactPositionY,ContactPositionZ,GameUID,UTCDate,UTCTime,LocalDateTime,UTCDateTime,AutoHitType,System,HomeTeamForeignID,AwayTeamForeignID,GameForeignID,Catcher,CatcherId,CatcherThrows,CatcherTeam,PlayID,PitchTrajectoryXc0,PitchTrajectoryXc1,PitchTrajectoryXc2,PitchTrajectoryYc0,PitchTrajectoryYc1,PitchTrajectoryYc2,PitchTrajectoryZc0,PitchTrajectoryZc1,PitchTrajectoryZc2,HitSpinAxis,HitTrajectoryXc0,HitTrajectoryXc1,HitTrajectoryXc2,HitTrajectoryXc3,HitTrajectoryXc4,HitTrajectoryXc5,HitTrajectoryXc6,HitTrajectoryXc7,HitTrajectoryXc8,HitTrajectoryYc0,HitTrajectoryYc1,HitTrajectoryYc2,HitTrajectoryYc3,HitTrajectoryYc4,HitTrajectoryYc5,HitTrajectoryYc6,HitTrajectoryYc7,HitTrajectoryYc8,HitTrajectoryZc0,HitTrajectoryZc1,HitTrajectoryZc2,HitTrajectoryZc3,HitTrajectoryZc4,HitTrajectoryZc5,HitTrajectoryZc6,HitTrajectoryZc7,HitTrajectoryZc8,ThrowSpeed,PopTime,ExchangeTime,TimeToBase,CatchPositionX,CatchPositionY,CatchPositionZ,ThrowPositionX,ThrowPositionY,ThrowPositionZ,BasePositionX,BasePositionY,BasePositionZ,ThrowTrajectoryXc0,ThrowTrajectoryXc1,ThrowTrajectoryXc2,ThrowTrajectoryYc0,ThrowTrajectoryYc1,ThrowTrajectoryYc2,ThrowTrajectoryZc0,ThrowTrajectoryZc1,ThrowTrajectoryZc2,PitchReleaseConfidence,PitchLocationConfidence,PitchMovementConfidence,HitLaunchConfidence,HitLandingConfidence,CatcherThrowCatchConfidence,CatcherThrowReleaseConfidence,CatcherThrowLocationConfidence
1,2025-02-14,12:05:44.07,1,1,"Norby, Ethan",825275,Left,ECU_PIR,"Alberti, Lucas",1000145512,Right,GEO_PAT,Undefined,1,Top,0,0,0,Fastball,Sinker,BallCalled,Undefined,Undefined,Undefined,0,0,,91.46144,-2.126183,4.434186,2226.083362,126.673999,10:15,5.13099,-2.98936,6.34898,-21.96174,11.16008,-13.50158,1.33687,-0.02457,83.32486,-6.268839,1.998669,0.414218,,,,,,,,,,,,8.30205,6.76252,2.67281,50,4.96578,-9.71851,-132.47323,-5.60519,14.69004,29.42803,-20.20814,ECU_PIR,GEO_PAT,ClarkLeClair,D1,AMER,20250214-ClarkLeClair-1,ec94da40-eaf5-11ef-b3e7-dbacde6f1796,90.99667,,,8.13658,,,,,,,5c37c170-708f-464e-9e38-cff0f00d7bbf,2025-02-14,17:05:44.07,2025-02-14T12:05:44.0753152-05:00,2025-02-14T17:05:44.0753152Z,,v3,471285,471300,14 February 2025 16:00-georgemas@ecarolina,"Barron, Walker",806026,Right,ECU_PIR,6c11de54-55c9-4b45-9bc7-e178f2a5082a,54.15031,-133.39201,14.71402,5.13093,-4.97427,-10.10407,2.98339,-10.17715,7.34502,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
2,2025-02-14,12:05:54.89,1,2,"Norby, Ethan",825275,Left,ECU_PIR,"Alberti, Lucas",1000145512,Right,GEO_PAT,Undefined,1,Top,0,1,0,Fastball,Sinker,BallCalled,Undefined,Undefined,Undefined,0,0,,91.0999,0.025431,3.640147,2468.543134,129.519039,10:15,5.18083,-3.06996,6.54012,-20.50911,12.42261,-13.78702,3.49511,-0.8757,83.04848,-3.878835,1.141908,0.413027,,,,,,,,,,,,8.208,6.82126,2.82271,50,5.17363,-7.85736,-132.23549,-0.52751,14.5186,28.46906,-20.10836,ECU_PIR,GEO_PAT,ClarkLeClair,D1,AMER,20250214-ClarkLeClair-1,f2eb2ac0-eaf5-11ef-b3e7-dbacde6f1796,91.25904,,,8.05142,,,,,,,5c37c170-708f-464e-9e38-cff0f00d7bbf,2025-02-14,17:05:54.89,2025-02-14T12:05:54.8963840-05:00,2025-02-14T17:05:54.8963840Z,,v3,471285,471300,14 February 2025 16:00-georgemas@ecarolina,"Barron, Walker",806026,Right,ECU_PIR,a673341f-c801-439b-b8c1-ca07fdd543e9,53.95893,-133.08508,14.23453,5.18042,0.07257,-10.05418,3.06365,-8.29063,7.2593,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
3,2025-02-14,12:06:07.31,1,3,"Norby, Ethan",825275,Left,ECU_PIR,"Alberti, Lucas",1000145512,Right,GEO_PAT,Undefined,1,Top,0,2,0,Fastball,Sinker,StrikeCalled,Undefined,Undefined,Undefined,0,0,,91.39757,-2.110881,3.918747,2445.666443,130.268184,10:15,5.19153,-2.90248,6.13784,-20.36785,12.87764,-13.9456,1.53787,-0.43723,83.60376,-5.94611,1.410782,0.41499,,,,,,,,,,,,8.26485,7.55819,2.61009,50,5.01948,-8.48728,-132.48033,-5.52979,14.70005,28.09312,-18.73089,ECU_PIR,GEO_PAT,ClarkLeClair,D1,AMER,20250214-ClarkLeClair-1,fa555c40-eaf5-11ef-b3e7-dbacde6f1796,90.82733,,,7.79381,,,,,,,5c37c170-708f-464e-9e38-cff0f00d7bbf,2025-02-14,17:06:07.31,2025-02-14T12:06:07.3172480-05:00,2025-02-14T17:06:07.3172480Z,,v3,471285,471300,14 February 2025 16:00-georgemas@ecarolina,"Barron, Walker",806026,Right,ECU_PIR,a0d89517-84a6-4d9a-889c-e3c50a2d22dc,54.36177,-133.40206,14.04656,5.19083,-4.91523,-9.36544,2.89646,-8.96959,7.35003,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
4,2025-02-14,12:06:20.07,1,4,"Norby, Ethan",825275,Left,ECU_PIR,"Alberti, Lucas",1000145512,Right,GEO_PAT,Undefined,1,Top,0,2,1,Fastball,Sinker,BallCalled,Undefined,Undefined,Undefined,0,0,,91.52051,-1.45615,3.066272,2370.735825,131.123839,10:15,5.07051,-2.98218,6.02257,-20.09643,13.57383,-14.16194,2.04488,-1.31959,82.59378,-5.268862,0.521746,0.417633,,,,,,,,,,,,8.21634,7.78591,2.74938,50,4.9455,-6.48566,-132.61295,-4.00112,14.43819,31.85619,-18.49219,ECU_PIR,GEO_PAT,ClarkLeClair,D1,AMER,20250214-ClarkLeClair-1,01ef0230-eaf6-11ef-b3e7-dbacde6f1796,90.25261,,,8.92673,,,,,,,5c37c170-708f-464e-9e38-cff0f00d7bbf,2025-02-14,17:06:20.07,2025-02-14T12:06:20.0735744-05:00,2025-02-14T17:06:20.0735744Z,,v3,471285,471300,14 February 2025 16:00-georgemas@ecarolina,"Barron, Walker",806026,Right,ECU_PIR,641edf1c-8b1c-4509-b2f4-3b78973ebb38,54.47492,-133.68359,15.92809,5.06952,-3.37962,-9.2461,2.97551,-6.97091,7.21909,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
5,2025-02-14,12:06:32.75,1,5,"Norby, Ethan",825275,Left,ECU_PIR,"Alberti, Lucas",1000145512,Right,GEO_PAT,Undefined,1,Top,0,3,1,Fastball,Sinker,InPlay,Undefined,LineDrive,Single,0,0,,91.45227,-2.076157,4.640552,2440.723573,136.228815,10:30,5.18312,-2.91446,6.52131,-18.02635,15.13501,-13.36292,1.76893,0.23906,82.63182,-5.540066,2.2245,0.414465,102.88166,7.211495,-22.672339,1408.372986,99.6864,4.60252,-46.50234,145.34117,142.97207,-25.895846,1.099081,8.46997,8.93186,2.59628,50,5.03021,-10.21206,-132.37999,-5.30114,14.84531,31.50447,-16.51913,ECU_PIR,GEO_PAT,ClarkLeClair,D1,AMER,20250214-ClarkLeClair-1,0976f4e0-eaf6-11ef-b3e7-dbacde6f1796,90.94249,6.30281,,8.82045,,,,1.49511,1.82078,-0.2257,5c37c170-708f-464e-9e38-cff0f00d7bbf,2025-02-14,17:06:32.75,2025-02-14T12:06:32.7517184-05:00,2025-02-14T17:06:32.7517184Z,GroundBall,v3,471285,471300,14 February 2025 16:00-georgemas@ecarolina,"Barron, Walker",806026,Right,ECU_PIR,06b7655f-de4c-4259-9e42-0071db8d4f60,53.97764,-133.32325,15.75223,5.18153,-4.80655,-8.25957,2.90869,-10.65654,7.42266,77.772133,1.49511,138.13108,-21.47524,3.12322,-0.63424,0.12973,-0.047,0.0205,-0.00439,1.82078,18.9419,-21.21159,2.7541,-0.58962,0.15322,-0.04816,0.0178,-0.00365,-0.2257,-57.7032,-1.07849,1.4492,-0.4099,0.13138,-0.05836,0.02696,-0.00601,,,,,,,,,,,,,,,,,,,,,,,High,High,High,High,High,,,
6,2025-02-14,12:07:05.78,2,1,"Norby, Ethan",825275,Left,ECU_PIR,"Quinn-Irons, Jaime",1000216379,Right,GEO_PAT,Undefined,1,Top,0,0,0,Cutter,Cutter,StrikeCalled,Undefined,Undefined,Undefined,0,0,,86.91593,-0.279613,4.407315,2653.893232,194.064932,12:30,5.06284,-3.43396,6.16874,-32.34218,4.4926,0.83331,2.10862,0.71442,79.53481,-6.279764,4.556915,0.436818,,,,,,,,,,,,0.82913,2.78488,3.09915,50,5.02535,-9.74042,-125.94283,-1.67017,1.32853,26.1517,-27.71182,ECU_PIR,GEO_PAT,ClarkLeClair,D1,AMER,20250214-ClarkLeClair-1,1d276470-eaf6-11ef-b3e7-dbacde6f1796,86.28868,,,7.38112,,,,,,,5c37c170-708f-464e-9e38-cff0f00d7bbf,2025-02-14,17:07:05.78,2025-02-14T12:07:05.7802752-05:00,2025-02-14T17:07:05.7802752Z,,v3,471285,471300,14 February 2025 16:00-georgemas@ecarolina,"Barron, Walker",806026,Right,ECU_PIR,c67adb58-9621-4a5b-95cb-d0748d44523b,54.32978,-126.83871,13.07585,5.0663,-0.72084,-13.85591,3.43361,-9.78593,0.66427,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
7,2025-02-14,12:07:48.65,2,2,"Norby, Ethan",825275,Left,ECU_PIR,"Quinn-Irons, Jaime",1000216379,Right,GEO_PAT,Undefined,1,Top,0,0,1,Fastball,Sinker,FoulBallNotFieldable,Undefined,Undefined,Undefined,0,0,,91.71724,-0.720392,5.191551,2507.414476,127.381422,10:15,5.19701,-3.36217,6.5825,-19.30363,13.58028,-16.24804,2.92542,0.05466,82.76474,-4.424187,2.254311,0.412727,75.25361,25.89352,99.681928,3716.572105,,,,,34.36958,,,10.13245,7.69079,3.01166,50,5.13921,-11.40952,-132.75428,-2.20696,17.87415,31.47225,-18.60713,ECU_PIR,GEO_PAT,ClarkLeClair,D1,AMER,20250214-ClarkLeClair-1,36baf050-eaf6-11ef-b3e7-dbacde6f1796,91.32527,17.6483,,8.95249,,,,0.08634,2.65519,-0.25418,5c37c170-708f-464e-9e38-cff0f00d7bbf,2025-02-14,17:07:48.65,2025-02-14T12:07:48.6522368-05:00,2025-02-14T17:07:48.6522368Z,,v3,471285,471300,14 February 2025 16:00-georgemas@ecarolina,"Barron, Walker",806026,Right,ECU_PIR,184cf807-5764-431e-95c3-44ec3b917029,53.9164,-133.67952,15.73612,5.19605,-1.65993,-9.30356,3.35481,-11.935,8.93707,293.879625,0.09535,-17.02597,-7.66209,,,,,,,2.66077,47.99884,-20.7895,,,,,,,-0.24363,97.49754,-17.76026,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,Medium,Undefined,,,
8,2025-02-14,12:08:13.41,2,3,"Norby, Ethan",825275,Left,ECU_PIR,"Quinn-Irons, Jaime",1000216379,Right,GEO_PAT,Undefined,1,Top,0,0,2,Slider,Slider,FoulBallNotFieldable,Undefined,Undefined,Undefined,0,0,,82.19453,0.817077,2.371763,2883.801662,265.021207,2:45,4.89157,-3.49765,5.73971,-38.97049,2.86603,17.65647,2.40556,0.18346,75.18089,-6.353943,5.524454,0.465532,,,,,,,,,,,,-8.31882,1.6,3.2891,50,4.93575,-5.6338,-119.27601,0.41055,-11.90518,24.35509,-29.88427,ECU_PIR,GEO_PAT,ClarkLeClair,D1,AMER,20250214-ClarkLeClair-1,45801110-eaf6-11ef-b3e7-dbacde6f1796,80.96644,,,7.01363,,,,,,,5c37c170-708f-464e-9e38-cff0f00d7bbf,2025-02-14,17:08:13.41,2025-02-14T12:08:13.4141952-05:00,2025-02-14T17:08:13.4141952Z,,v3,471285,471300,14 February 2025 16:00-georgemas@ecarolina,"Barron, Walker",806026,Right,ECU_PIR,55b8ade2-d6a7-4c31-b7b0-c09bdcddf147,54.76111,-120.24426,12.17755,4.89582,1.59861,-14.94213,3.50367,-5.16051,-5.95259,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
9,2025-02-14,12:08:37.47,2,4,"Norby, Ethan",825275,Left,ECU_PIR,"Quinn-Irons, Jaime",1000216379,Right,GEO_PAT,Undefined,1,Top,0,0,2,Fastball,Four-Seam,StrikeSwinging,Strikeout,Undefined,Undefined,0,0,,91.85227,-0.215177,3.752662,2440.691562,133.450137,10:30,5.18043,-3.17436,6.63275,-15.92694,16.70981,-16.41954,3.65575,-1.10192,82.77828,-3.31603,0.772529,0.411173,,,,,,,,,,,,9.74012,9.16682,2.92577,50,5.1589,-8.06516,-133.19426,-0.8883,17.27773,31.96166,-15.91334,ECU_PIR,GEO_PAT,ClarkLeClair,D1,AMER,20250214-ClarkLeClair-1,53d7a2f0-eaf6-11ef-b3e7-dbacde6f1796,91.67045,,,9.07399,,,,,,,5c37c170-708f-464e-9e38-cff0f00d7bbf,2025-02-14,17:08:37.47,2025-02-14T12:08:37.4740992-05:00,2025-02-14T17:08:37.4740992Z,,v3,471285,471300,14 February 2025 16:00-georgemas@ecarolina,"Barron, Walker",806026,Right,ECU_PIR,e4fbd5fd-b296-4d7c-925b-ae5017f48436,53.86479,-134.11846,15.98083,5.17794,-0.42815,-7.95667,3.1662,-8.56476,8.63887,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
10,2025-02-14,12:09:51.96,3,1,"Norby, Ethan",825275,Left,ECU_PIR,"Hull, Owen",10054797,Left,GEO_PAT,Undefined,1,Top,1,0,0,Slider,Slider,StrikeCalled,Undefined,Undefined,Undefined,0,0,,81.15202,1.79205,1.407151,3032.559769,279.001907,3:15,4.85781,-3.44126,5.57708,-44.39195,-1.09173,15.91639,2.83329,-0.80036,73.86037,-6.354472,4.244434,0.473605,,,,,,,,,,,,-7.57989,-0.63268,3.30968,50,4.98335,-3.5395,-117.7062,2.15516,-10.53572,24.27178,-33.05347,ECU_PIR,GEO_PAT,ClarkLeClair,D1,AMER,20250214-ClarkLeClair-1,8046e940-eaf6-11ef-b3e7-dbacde6f1796,79.58618,,,7.29165,,,,,,,5c37c170-708f-464e-9e38-cff0f00d7bbf,2025-02-14,17:09:51.96,2025-02-14T12:09:51.9607808-05:00,2025-02-14T17:09:51.9607808Z,,v3,471285,471300,14 February 2025 16:00-georgemas@ecarolina,"Barron, Walker",806026,Right,ECU_PIR,43ce04a4-ce5f-442c-bcfe-60d4300d2a5e,54.92256,-118.71693,12.13589,4.86494,3.53157,-16.52673,3.44794,-3.10077,-5.26786,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
